,HN1,HN2,HN3,HN4,HN5,HN6,HN7,HN8,HN9,HN12,,行标签,求和项:HN12
F1,1,1,1,1,1,1,0.001067714,1,1,1,,0.000627337,0.000627337
F2,1,1,0.010601235,1,1,1,1,1,0.005852794,1,,0.010488823,0.020977645
F4,1,1,1,1,0.001406681,1,0.004603609,1,1,1,,0.011658884,0.011658884
F6,1,0.003950449,1,1,0.000959803,1,0.001882094,1,1,1,,1,87
F11,1,1,1,0.001316101,3.5241E-05,1,0.000519783,1,1,1,,总计,87.03326387
F33,1,1,1,1,0.000309405,1,0.01070811,1,1,1,,,
F36,1,1,1,0.000951363,0.000132601,1,0.000232967,1,1,1,,,
F41,1,1,1,0.004508435,0.000631345,0.009937694,2.13377E-05,1,0.001962286,1,,,
F52,1,1,1,1,1,1,0.001882094,1,1,1,,,
F56,0.01259303,1,1,0.001900368,0.000132601,0.00347566,0.000914801,1,0.001180606,1,,,
F68,1,1,1,0.011374199,0.001166845,1,0.002591379,1,0.010567247,1,,,
F71,0.01259303,0.002992864,1,0.008239769,0.002764356,1,0.002591379,0.002223135,1,1,,,
F72,0.007355029,0.001143105,1,0.01259303,0.001682711,1,0.004603609,1,0.003557617,1,,,
F84,0.00654349,0.004508435,1,0.00920178,0.000309405,1,0.005253138,1,0.004653077,1,,,
F86,1,1,1,1,1,0.00189705,1,1,1,0.000627337,,,
F88,0.00920178,0.004508435,1,0.00580115,0.000503977,1,0.000486369,1,1,1,,,
F95,0.008239769,1,1,0.007355029,6.80903E-05,0.002797714,4.8286E-05,1,0.006751652,1,,,
F96,0.004693893,1,1,0.012374896,1,1,0.000519783,0.010601235,0.007872078,1,,,
F104,0.007355029,0.004508435,1,0.001614769,0.000309405,0.00160704,0.002215105,1,1,0.011658884,,,
F106,0.00654349,1,1,1,0.000959803,0.00035903,0.000486369,1,1,1,,,
F111,0.00920178,0.00344645,1,0.007355029,0.000397509,1,0.001882094,1,0.011730636,1,,,
F112,1,1,1,1,1,1,0.002300142,1,1,1,,,
F125,0.011374199,0.00580115,1,0.00344645,0.003222325,1,0.002215105,0.005124082,0.006751652,1,,,
F134,0.009491918,1,1,0.001962286,0.000139724,1,0.000243002,1,1,1,,,
F135,1,0.008239769,1,1,0.000397509,1,0.003014547,1,1,1,,,
F143,1,1,1,1,0.010980495,1,1,1,1,1,,,
F144,0.003950449,0.00344645,1,0.00920178,0.001166845,0.002405247,0.01070811,1,1,1,,,
F148,1,1,1,0.005124082,0.000309405,0.00189705,0.002591379,1,0.006751652,1,,,
F149,1,1,1,0.005124082,0.000309405,1,0.000486369,1,1,1,,,
F153,0.004398493,1,1,0.001004947,0.000168571,0.006921512,4.44469E-05,1,0.00454072,1,,,
F158,1,0.004653077,1,0.007588327,0.004181318,1,1,0.002295394,0.004806636,1,,,
F159,1,0.003557617,1,1,0.000818834,1,0.007002165,1,1,1,,,
F160,0.000642826,0.002992864,1,1,0.00926089,0.000123491,0.003488367,1,1,1,,,
F161,0.008239769,1,1,0.011374199,0.000782324,0.008413264,0.002591379,1,1,1,,,
F163,1,1,1,1,8.36298E-06,0.006517814,0.000251555,1,0.010936159,1,,,
F171,1,1,1,1,0.007290796,1,1,1,1,1,,,
F173,1,0.001180606,1,1,1,1,1,1,1,1,,,
F175,0.00411738,0.004398493,1,0.000398308,0.000333919,1,0.001172755,0.006027816,1,1,,,
F178,1,1,1,1,0.001488403,1,0.003157375,1,1,1,,,
F181,1,1,1,1,0.002554888,1,0.002215105,1,1,1,,,
F183,0.001363315,1,1,0.001363315,0.001682711,0.008413264,9.67559E-05,1,1,1,,,
F208,0.002910172,0.005329435,1,1,0.0045078,1,0.005475136,1,1,1,,,
F219,0.004508435,0.00580115,1,1,0.002764356,5.69411E-06,0.004016722,1,1,0.010488823,,,
F223,1,1,1,1,0.000448294,0.011658884,0.009591102,1,1,1,,,
F224,0.003596176,1,1,1,1,1,1,1,1,1,,,
F230,3.12689E-05,0.001406681,1,0.006033446,0.000326983,0.010185677,0.000227569,1,1,1,,,
F243,1,0.00920178,1,0.011374199,0.002764356,0.003992433,0.004016722,0.010245194,1,1,,,
F249,1,1,1,0.01070811,8.80236E-05,0.012317161,0.000366819,1,1,1,,,
F257,0.00528802,1,1,0.008500357,0.006276704,1,0.000184769,1,0.003192723,1,,,
F270,1,0.008239769,1,0.00344645,0.000397509,1,0.005969519,0.00654349,0.003557617,1,,,
F285,0.004508435,0.010245194,1,1,0.001059431,0.00014317,0.005253138,1,1,1,,,
F307,0.002670066,1,1,0.00528802,3.3184E-05,0.005728528,0.000314643,1,0.009798416,1,,,
F315,0.001962286,1,1,1,0.002459337,0.000148699,0.00050652,1,1,1,,,
F317,1,1,1,1,0.008735052,1,1,1,1,1,,,
F320,0.00654349,0.000785442,1,0.008239769,0.001406681,1,0.001588848,1,1,1,,,
F321,0.000785442,0.01259303,1,1,0.001998495,1,0.000385575,1,0.011730636,1,,,
F322,1,0.002586215,1,0.01259303,0.002357753,0.00160704,0.011919049,1,0.001962286,1,,,
F328,0.007355029,0.007355029,1,0.001143105,0.000959803,1,0.003014547,1,1,1,,,
F332,0.002705296,1,1,0.006027816,0.000105851,1,9.21833E-06,1,0.009830774,1,,,
F333,1,1,0.005124082,1,0.010382974,1,1,1,1,1,,,
F334,0.008239769,0.002586215,1,0.01259303,0.001682711,1,0.001108347,1,1,1,,,
F341,0.008239769,0.010245194,1,0.005124082,0.000397509,0.005895822,0.001882094,1,1,1,,,
F342,1,1,1,1,1,0.007946279,1,1,0.003557617,0.010488823,,,
F347,0.002591379,0.001588848,1,0.000606506,0.000973064,1,0.000733603,0.009591102,0.002690086,1,,,
F351,0.010567247,1,1,1,0.00032491,0.007310544,7.24409E-05,1,1,1,,,
F356,1,1,1,1,1,0.001129847,1,1,1,1,,,
F360,1,1,1,0.005004049,0.000604448,1,0.006215197,1,0.001482116,1,,,
F362,0.011374199,1,1,0.008239769,0.001166845,0.000770065,0.000914801,1,0.001667506,1,,,
F363,1,1,1,0.010245194,1,1,1,1,1,1,,,
F364,1,1,1,1,0.007125493,1,1,1,1,1,,,
F370,0.00528802,1,1,0.00528802,0.000661286,0.009723761,0.000101135,1,1,1,,,
F372,0.002992864,0.00920178,1,1,0.00926089,0.000936688,0.000914801,1,0.001407941,1,,,
F373,1,1,1,1,1,1,0.005969519,1,1,1,,,
F374,0.008563333,0.002591379,1,0.000914801,8.80236E-05,1,0.000366819,0.009591102,1,1,,,
F376,1,1,1,1,1,1,0.01070811,1,0.001962286,1,,,
F377,1,1,1,1,0.003222325,1,0.001588848,1,1,1,,,
F382,1,0.011730636,1,0.001407941,7.19683E-05,1,0.000778778,1,1,1,,,
F387,0.003950449,1,1,0.000785442,0.00017904,1,4.8286E-05,1,1,1,,,
F388,1,1,1,0.01259303,0.000631345,0.003992433,0.004016722,1,1,1,,,
F391,1,1,1,1,1,0.00347566,1,1,1,1,,,
F395,1,0.004077534,1,0.005986228,4.96577E-05,1,0.003128506,1,1,1,,,
F396,1,1,1,1,1,1,1,1,0.004653077,1,,,
F399,0.01259303,1,1,1,0.007290796,0.005538938,0.001588848,0.011374199,6.19784E-05,1,,,
F402,1,1,1,1,0.001166845,0.007070796,0.001588848,1,0.004077534,1,,,
F404,0.001143105,1,1,0.01259303,0.005653031,0.008900465,0.00013218,1,0.010567247,1,,,
F408,0.000247625,0.006269748,1,0.002056281,0.000447132,0.01137845,0.000912841,1,0.003116726,1,,,
F419,0.004077534,0.008500357,1,1,0.00032491,0.011430599,0.000951504,1,1,1,,,
F422,0.004508435,1,1,0.001143105,6.80903E-05,1,1.33593E-05,1,1,1,,,
F424,1,0.00344645,1,1,0.006432813,1,0.005253138,1,1,1,,,
F458,1,0.00920178,1,1,0.001166845,1,0.009591102,1,1,1,,,
F459,0.000642826,0.011374199,1,1,0.007290796,0.001747437,0.001588848,1,1,1,,,
多少个1,46,54,89,43,15,54,15,81,60,87,,,
MIN,3.12689E-05,0.000785442,0.005124082,0.000398308,8.36298E-06,5.69411E-06,9.21833E-06,0.002223135,6.19784E-05,0.000627337,,,
